"Date/Time","Total Memory","Free Memory","Message"
"2014.11.30 10:15:12","138412032","132947744","parse input dumps..."
"2014.11.30 10:15:12","138412032","132947744","Discussions are unavailable"
"2014.11.30 10:22:15","143654912","141977168","processing table page..."
"2014.11.30 10:22:15","143654912","138910464","Pages 10000"
"2014.11.30 10:22:15","143654912","135291128","Pages 20000"
"2014.11.30 10:22:16","143654912","131934088","Pages 30000"
"2014.11.30 10:22:16","143654912","133481456","Pages 40000"
"2014.11.30 10:22:16","143654912","129935240","Pages 50000"
"2014.11.30 10:22:16","143654912","126593560","Pages 60000"
"2014.11.30 10:22:17","143654912","128730904","Pages 70000"
"2014.11.30 10:22:17","143654912","124256160","Pages 80000"
"2014.11.30 10:22:17","147324928","129166280","Pages 90000"
"2014.11.30 10:22:18","147324928","124931776","Pages 100000"
"2014.11.30 10:22:18","147324928","121617992","Pages 110000"
"2014.11.30 10:22:18","148373504","124822768","Pages 120000"
"2014.11.30 10:22:18","148373504","120970096","Pages 130000"
"2014.11.30 10:22:19","148897792","120078008","Pages 140000"
"2014.11.30 10:22:20","148897792","116208104","Pages 150000"
"2014.11.30 10:22:21","148897792","112369632","Pages 160000"
"2014.11.30 10:22:22","151519232","116484376","Pages 170000"
"2014.11.30 10:22:23","151519232","112905824","Pages 180000"
"2014.11.30 10:22:24","151519232","109116648","Pages 190000"
"2014.11.30 10:22:25","152043520","111999072","Pages 200000"
"2014.11.30 10:22:26","152043520","108295152","Pages 210000"
"2014.11.30 10:22:27","152043520","104591544","Pages 220000"
"2014.11.30 10:22:28","154664960","109646992","Pages 230000"
"2014.11.30 10:22:28","154664960","105703808","Pages 240000"
"2014.11.30 10:22:29","155189248","103343600","Pages 250000"
"2014.11.30 10:22:29","155189248","99316928","Pages 260000"
"2014.11.30 10:22:30","155189248","94670320","Pages 270000"
"2014.11.30 10:22:30","158859264","101366560","Pages 280000"
"2014.11.30 10:22:31","158859264","97274304","Pages 290000"
"2014.11.30 10:22:32","158859264","92597640","Pages 300000"
"2014.11.30 10:22:33","158859264","88505608","Pages 310000"
"2014.11.30 10:22:33","159383552","94935680","Pages 320000"
"2014.11.30 10:22:34","159383552","90671544","Pages 330000"
"2014.11.30 10:22:35","159383552","86103152","Pages 340000"
"2014.11.30 10:22:35","159383552","83666624","processing table categorylinks..."
"2014.11.30 10:22:36","163053568","82211240","Categorylinks 10000"
"2014.11.30 10:22:36","163053568","86338520","Categorylinks 20000"
"2014.11.30 10:22:36","167247872","94400800","Categorylinks 30000"
"2014.11.30 10:22:36","167247872","78640968","Categorylinks 40000"
"2014.11.30 10:22:36","167247872","87145592","Categorylinks 50000"
"2014.11.30 10:22:36","171442176","99817304","Categorylinks 60000"
"2014.11.30 10:22:36","171442176","84489080","Categorylinks 70000"
"2014.11.30 10:22:36","171966464","99154288","Categorylinks 80000"
"2014.11.30 10:22:36","171966464","83825888","Categorylinks 90000"
"2014.11.30 10:22:36","177209344","104102496","Categorylinks 100000"
"2014.11.30 10:22:36","177209344","88353352","Categorylinks 110000"
"2014.11.30 10:22:37","177209344","73461976","Categorylinks 120000"
"2014.11.30 10:22:37","177733632","94583536","Categorylinks 130000"
"2014.11.30 10:22:37","177733632","79550224","Categorylinks 140000"
"2014.11.30 10:22:37","184025088","106404424","Categorylinks 150000"
"2014.11.30 10:22:37","184025088","91729096","Categorylinks 160000"
"2014.11.30 10:22:37","184025088","77917136","Categorylinks 170000"
"2014.11.30 10:22:37","184549376","106920480","Categorylinks 180000"
"2014.11.30 10:22:37","184549376","92245312","Categorylinks 190000"
"2014.11.30 10:22:37","184549376","77570280","Categorylinks 200000"
"2014.11.30 10:22:37","191889408","113301912","Categorylinks 210000"
"2014.11.30 10:22:37","191889408","98711080","Categorylinks 220000"
"2014.11.30 10:22:37","191889408","85162544","Categorylinks 230000"
"2014.11.30 10:22:37","192413696","123206112","Categorylinks 240000"
"2014.11.30 10:22:37","192413696","109657432","Categorylinks 250000"
"2014.11.30 10:22:38","192413696","97150984","Categorylinks 260000"
"2014.11.30 10:22:38","192413696","82560024","Categorylinks 270000"
"2014.11.30 10:22:38","201850880","128674592","Categorylinks 280000"
"2014.11.30 10:22:38","201850880","114894408","Categorylinks 290000"
"2014.11.30 10:22:38","201850880","101114176","Categorylinks 300000"
"2014.11.30 10:22:38","201850880","86081264","Categorylinks 310000"
"2014.11.30 10:22:39","201850880","72301072","Categorylinks 320000"
"2014.11.30 10:22:39","202375168","122870920","Categorylinks 330000"
"2014.11.30 10:22:39","202375168","110343480","Categorylinks 340000"
"2014.11.30 10:22:39","202375168","97816032","Categorylinks 350000"
"2014.11.30 10:22:39","202375168","84035864","Categorylinks 360000"
"2014.11.30 10:22:39","202375168","71819560","Categorylinks 370000"
"2014.11.30 10:22:39","213385216","131619872","Categorylinks 380000"
"2014.11.30 10:22:40","213385216","116566048","Categorylinks 390000"
"2014.11.30 10:22:40","213385216","103017616","Categorylinks 400000"
"2014.11.30 10:22:40","213385216","87963800","Categorylinks 410000"
"2014.11.30 10:22:40","213385216","72909968","Categorylinks 420000"
"2014.11.30 10:22:40","213909504","135142184","Categorylinks 430000"
"2014.11.30 10:22:40","213909504","120088376","Categorylinks 440000"
"2014.11.30 10:22:40","213909504","105034520","Categorylinks 450000"
"2014.11.30 10:22:41","213909504","92991472","Categorylinks 460000"
"2014.11.30 10:22:41","213909504","77937704","Categorylinks 470000"
"2014.11.30 10:22:41","228065280","152584712","Categorylinks 480000"
"2014.11.30 10:22:41","228065280","138099416","Categorylinks 490000"
"2014.11.30 10:22:41","228065280","123614112","Categorylinks 500000"
"2014.11.30 10:22:41","228065280","109128792","Categorylinks 510000"
"2014.11.30 10:22:41","228065280","94643520","Categorylinks 520000"
"2014.11.30 10:22:41","228065280","80158184","Categorylinks 530000"
"2014.11.30 10:22:42","219152384","145735208","Categorylinks 540000"
"2014.11.30 10:22:42","219152384","131923600","Categorylinks 550000"
"2014.11.30 10:22:42","219152384","118112072","Categorylinks 560000"
"2014.11.30 10:22:42","219152384","102574136","Categorylinks 570000"
"2014.11.30 10:22:42","219152384","88762448","Categorylinks 580000"
"2014.11.30 10:22:42","219152384","73224480","Categorylinks 590000"
"2014.11.30 10:22:42","214958080","140040264","Categorylinks 600000"
"2014.11.30 10:22:43","214958080","125260224","Categorylinks 610000"
"2014.11.30 10:22:43","214958080","110480216","Categorylinks 620000"
"2014.11.30 10:22:43","214958080","97342320","Categorylinks 630000"
"2014.11.30 10:22:43","214958080","82562240","Categorylinks 640000"
"2014.11.30 10:22:43","214958080","69424336","Categorylinks 650000"
"2014.11.30 10:22:43","216006656","136652192","Categorylinks 660000"
"2014.11.30 10:22:43","216006656","122535320","Categorylinks 670000"
"2014.11.30 10:22:43","216006656","108418512","Categorylinks 680000"
"2014.11.30 10:22:43","216006656","94301552","Categorylinks 690000"
"2014.11.30 10:22:44","216006656","80184632","Categorylinks 700000"
"2014.11.30 10:22:44","207618048","136253664","Categorylinks 710000"
"2014.11.30 10:22:44","207618048","121305112","Categorylinks 720000"
"2014.11.30 10:22:44","207618048","106356608","Categorylinks 730000"
"2014.11.30 10:22:44","207618048","92902944","Categorylinks 740000"
"2014.11.30 10:22:44","207618048","77954304","Categorylinks 750000"
"2014.11.30 10:22:44","208142336","138346488","Categorylinks 760000"
"2014.11.30 10:22:44","208142336","124134888","Categorylinks 770000"
"2014.11.30 10:22:44","208142336","109923208","Categorylinks 780000"
"2014.11.30 10:22:44","208142336","95711496","Categorylinks 790000"
"2014.11.30 10:22:44","208142336","81499824","Categorylinks 800000"
"2014.11.30 10:22:45","200802304","131069616","Categorylinks 810000"
"2014.11.30 10:22:45","200802304","116131744","Categorylinks 820000"
"2014.11.30 10:22:45","200802304","102551816","Categorylinks 830000"
"2014.11.30 10:22:45","200802304","88971864","Categorylinks 840000"
"2014.11.30 10:22:45","200802304","74033776","Categorylinks 850000"
"2014.11.30 10:22:46","212860928","139898744","Categorylinks 860000"
"2014.11.30 10:22:46","212860928","126160920","Categorylinks 870000"
"2014.11.30 10:22:47","217579520","155329504","processing table pagelinks..."
"2014.11.30 10:22:47","217579520","147171040","Pagelinks 10000"
"2014.11.30 10:22:47","217579520","142275984","Pagelinks 20000"
"2014.11.30 10:22:47","217579520","137380888","Pagelinks 30000"
"2014.11.30 10:22:47","217579520","132485872","Pagelinks 40000"
"2014.11.30 10:22:47","217579520","129222488","Pagelinks 50000"
"2014.11.30 10:22:47","217579520","124327360","Pagelinks 60000"
"2014.11.30 10:22:47","217579520","121063992","Pagelinks 70000"
"2014.11.30 10:22:47","217579520","116168952","Pagelinks 80000"
"2014.11.30 10:22:47","217579520","112905576","Pagelinks 90000"
"2014.11.30 10:22:47","217579520","108010488","Pagelinks 100000"
"2014.11.30 10:22:47","217579520","104747080","Pagelinks 110000"
"2014.11.30 10:22:47","217579520","99851984","Pagelinks 120000"
"2014.11.30 10:22:47","217579520","94956904","Pagelinks 130000"
"2014.11.30 10:22:47","217579520","91693536","Pagelinks 140000"
"2014.11.30 10:22:47","217579520","88430160","Pagelinks 150000"
"2014.11.30 10:22:47","217579520","83535032","Pagelinks 160000"
"2014.11.30 10:22:47","217579520","80271632","Pagelinks 170000"
"2014.11.30 10:22:47","217579520","75696560","Pagelinks 180000"
"2014.11.30 10:22:48","217579520","151828568","Pagelinks 190000"
"2014.11.30 10:22:48","217579520","148565184","Pagelinks 200000"
"2014.11.30 10:22:48","217579520","143670120","Pagelinks 210000"
"2014.11.30 10:22:48","217579520","140406744","Pagelinks 220000"
"2014.11.30 10:22:48","217579520","137143352","Pagelinks 230000"
"2014.11.30 10:22:48","217579520","132248288","Pagelinks 240000"
"2014.11.30 10:22:48","217579520","127353232","Pagelinks 250000"
"2014.11.30 10:22:48","217579520","124089848","Pagelinks 260000"
"2014.11.30 10:22:48","217579520","119194752","Pagelinks 270000"
"2014.11.30 10:22:48","217579520","115931344","Pagelinks 280000"
"2014.11.30 10:22:48","217579520","111036280","Pagelinks 290000"
"2014.11.30 10:22:48","217579520","107772896","Pagelinks 300000"
"2014.11.30 10:22:48","217579520","104509504","Pagelinks 310000"
"2014.11.30 10:22:48","217579520","99614400","Pagelinks 320000"
"2014.11.30 10:22:48","217579520","94719312","Pagelinks 330000"
"2014.11.30 10:22:48","217579520","91455912","Pagelinks 340000"
"2014.11.30 10:22:48","217579520","86560848","Pagelinks 350000"
"2014.11.30 10:22:48","217579520","83297488","Pagelinks 360000"
"2014.11.30 10:22:48","217579520","78402424","Pagelinks 370000"
"2014.11.30 10:22:48","217579520","75458992","Pagelinks 380000"
"2014.11.30 10:22:48","233308160","168560624","Pagelinks 390000"
"2014.11.30 10:22:48","233308160","164644576","Pagelinks 400000"
"2014.11.30 10:22:48","233308160","160728520","Pagelinks 410000"
"2014.11.30 10:22:48","233308160","156812488","Pagelinks 420000"
"2014.11.30 10:22:49","233308160","150938440","Pagelinks 430000"
"2014.11.30 10:22:49","233308160","147022400","Pagelinks 440000"
"2014.11.30 10:22:49","233308160","143106296","Pagelinks 450000"
"2014.11.30 10:22:49","233308160","139190280","Pagelinks 460000"
"2014.11.30 10:22:49","233308160","135274224","Pagelinks 470000"
"2014.11.30 10:22:49","233308160","131358208","Pagelinks 480000"
"2014.11.30 10:22:49","233308160","127442128","Pagelinks 490000"
"2014.11.30 10:22:49","233308160","125484104","Pagelinks 500000"
"2014.11.30 10:22:49","233308160","119610016","Pagelinks 510000"
"2014.11.30 10:22:49","233308160","115693960","Pagelinks 520000"
"2014.11.30 10:22:49","233308160","111777920","Pagelinks 530000"
"2014.11.30 10:22:49","233308160","107861904","Pagelinks 540000"
"2014.11.30 10:22:49","233308160","103945864","Pagelinks 550000"
"2014.11.30 10:22:49","233308160","100029848","Pagelinks 560000"
"2014.11.30 10:22:49","233308160","96113800","Pagelinks 570000"
"2014.11.30 10:22:49","233308160","92197760","Pagelinks 580000"
"2014.11.30 10:22:49","233308160","88281704","Pagelinks 590000"
"2014.11.30 10:22:49","233308160","84365648","Pagelinks 600000"
"2014.11.30 10:22:49","233308160","80449560","Pagelinks 610000"
"2014.11.30 10:22:49","233308160","76533536","Pagelinks 620000"
"2014.11.30 10:22:49","225968128","163240656","Pagelinks 630000"
"2014.11.30 10:22:49","225968128","159514128","Pagelinks 640000"
"2014.11.30 10:22:49","225968128","153924296","Pagelinks 650000"
"2014.11.30 10:22:49","225968128","150197720","Pagelinks 660000"
"2014.11.30 10:22:50","225968128","146471184","Pagelinks 670000"
"2014.11.30 10:22:50","225968128","142744648","Pagelinks 680000"
"2014.11.30 10:22:50","225968128","139018080","Pagelinks 690000"
"2014.11.30 10:22:50","225968128","133428200","Pagelinks 700000"
"2014.11.30 10:22:50","225968128","129701648","Pagelinks 710000"
"2014.11.30 10:22:50","225968128","125975080","Pagelinks 720000"
"2014.11.30 10:22:50","225968128","122248488","Pagelinks 730000"
"2014.11.30 10:22:50","225968128","118521928","Pagelinks 740000"
"2014.11.30 10:22:50","225968128","114795392","Pagelinks 750000"
"2014.11.30 10:22:50","225968128","111068824","Pagelinks 760000"
"2014.11.30 10:22:50","225968128","107342304","Pagelinks 770000"
"2014.11.30 10:22:50","225968128","103615752","Pagelinks 780000"
"2014.11.30 10:22:50","225968128","99889184","Pagelinks 790000"
"2014.11.30 10:22:50","225968128","96162624","Pagelinks 800000"
"2014.11.30 10:22:50","225968128","92436064","Pagelinks 810000"
"2014.11.30 10:22:50","225968128","88709504","Pagelinks 820000"
"2014.11.30 10:22:50","225968128","84982944","Pagelinks 830000"
"2014.11.30 10:22:50","225968128","81256416","Pagelinks 840000"
"2014.11.30 10:22:50","225968128","77529904","Pagelinks 850000"
"2014.11.30 10:22:50","225968128","73803336","Pagelinks 860000"
"2014.11.30 10:22:50","221773824","157417048","Pagelinks 870000"
"2014.11.30 10:22:50","221773824","153858944","Pagelinks 880000"
"2014.11.30 10:22:50","221773824","148521736","Pagelinks 890000"
"2014.11.30 10:22:50","221773824","144963624","Pagelinks 900000"
"2014.11.30 10:22:50","221773824","141405528","Pagelinks 910000"
"2014.11.30 10:22:50","221773824","136068320","Pagelinks 920000"
"2014.11.30 10:22:50","221773824","132510224","Pagelinks 930000"
"2014.11.30 10:22:50","221773824","128952088","Pagelinks 940000"
"2014.11.30 10:22:50","221773824","125393976","Pagelinks 950000"
"2014.11.30 10:22:50","221773824","120056784","Pagelinks 960000"
"2014.11.30 10:22:50","221773824","116498616","Pagelinks 970000"
"2014.11.30 10:22:50","221773824","112940496","Pagelinks 980000"
"2014.11.30 10:22:50","221773824","109382400","Pagelinks 990000"
"2014.11.30 10:22:50","221773824","105824304","Pagelinks 1000000"
"2014.11.30 10:22:51","223870976","157848624","Pagelinks 1010000"
"2014.11.30 10:22:51","223870976","154295368","Pagelinks 1020000"
"2014.11.30 10:22:51","223870976","150742136","Pagelinks 1030000"
"2014.11.30 10:22:51","223870976","147188920","Pagelinks 1040000"
"2014.11.30 10:22:51","223870976","143635696","Pagelinks 1050000"
"2014.11.30 10:22:51","223870976","138305856","Pagelinks 1060000"
"2014.11.30 10:22:51","223870976","134752584","Pagelinks 1070000"
"2014.11.30 10:22:51","223870976","131199320","Pagelinks 1080000"
"2014.11.30 10:22:51","223870976","127646096","Pagelinks 1090000"
"2014.11.30 10:22:51","223870976","124092856","Pagelinks 1100000"
"2014.11.30 10:22:51","223870976","120539640","Pagelinks 1110000"
"2014.11.30 10:22:51","223870976","115209800","Pagelinks 1120000"
"2014.11.30 10:22:51","223870976","111656584","Pagelinks 1130000"
"2014.11.30 10:22:51","223870976","108103344","Pagelinks 1140000"
"2014.11.30 10:22:51","223870976","104550104","Pagelinks 1150000"
"2014.11.30 10:22:51","223870976","100996864","Pagelinks 1160000"
"2014.11.30 10:22:51","223870976","97443648","Pagelinks 1170000"
